"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"371","Stanford","Private","Pac 12",2009,19.9,2010,5.2
"372","Texas Tech","Public","Big 12",2009,-15.4,2010,-1.2
"373","Alabama","Public","SEC",2009,14.3,2010,6
"374","Tennessee","Public","SEC",2009,12.2,2010,2.6
"375","Texas","Public","Big 12",2009,0.5,2010,-1.1
"376","Arizona","Public","Pac 12",2009,0,2010,7.6
"377","Arkansas","Public","SEC",2009,19.9,2010,16.5
"378","California","Public","Pac 12",2009,-7.7,2010,0.4
"379","UCLA","Public","Pac 12",2009,20.5,2010,0.5
"380","Florida","Public","SEC",2009,0,2010,2.8
"381","Georgia","Public","SEC",2009,-15.4,2010,3.3
"382","Illinois","Public","Big 10",2009,-16.7,2010,4.8
"383","Iowa","Public","Big 10",2009,15.4,2010,14.3
"384","Kansas","Public","Big 12",2009,-19.9,2010,-2.3
"385","Kentucky","Public","SEC",2009,0,2010,9.7
"386","Maryland","Public","ACC",2009,-44.9,2010,-7.7
"387","Michigan","Public","Big 10",2009,16.7,2010,5.5
"388","Minnesota","Public","Big 10",2009,-7.7,2010,8.7
"389","Mississippi","Public","SEC",2009,0,2010,26.9
"390","North Carolina","Public","ACC",2009,0,2010,7.8
"391","Oklahoma","Public","Big 12",2009,-24.2,2010,8
"392","Oregon","Public","Pac 12",2009,0,2010,11.8
"393","South Carolina","Public","SEC",2009,0,2010,4
"394","Southern California","Private","Pac 12",2009,-23.1,2010,0.1
"395","Virginia","Public","ACC",2009,-16.7,2010,4.8
"396","Washington","Public","Pac 12",2009,41.7,2010,5.2
"397","Wisconsin","Public","Big 10",2009,23.1,2010,-5.4
"398","Vanderbilt","Private","SEC",2009,-37.2,2010,12.7
"399","Wake Forest","Private","ACC",2009,-19.9,2010,0.1
"400","Washington State","Public","Pac 12",2009,-7.1,2010,-1.6
"401","Arizona State","Public","Pac 12",2010,16.7,2011,5.2
"402","Auburn","Public","SEC",2010,38.5,2011,16.1
"403","Baylor","Private","Big 12",2010,20.5,2011,14.1
"404","Clemson","Public","ACC",2010,-18.1,2011,3.6
"405","Duke","Private","ACC",2010,-14.4,2011,14.3
"406","Florida State","Public","ACC",2010,15.4,2011,8.7
"407","Georgia Tech","Public","ACC",2010,-32.4,2011,18
"408","Indiana","Public","Big 10",2010,8.3,2011,-4.1
"409","Iowa State","Public","Big 12",2010,-12.2,2011,20.2
"410","Kansas State","Public","Big 12",2010,3.8,2011,0.3
"411","LSU","Public","SEC",2010,15.4,2011,14.4
"412","Michigan State","Public","Big 10",2010,38.5,2011,5.6
"413","Mississippi State","Public","SEC",2010,27.6,2011,6
"414","North Carolina State","Public","ACC",2010,27.6,2011,4
"415","Northwestern","Private","Big 10",2010,-7.7,2011,8.5
"416","Ohio State","Public","Big 10",2010,7.7,2011,-2.5
"417","Oklahoma State","Public","Big 12",2010,15.4,2011,14
"418","Oregon State","Public","Pac 12",2010,-19.9,2011,13.5
"419","Penn State","Public","Big 10",2010,-30.8,2011,2
"420","Purdue","Public","Big 10",2010,-8.3,2011,-3.2
"421","Stanford","Private","Pac 12",2010,30.8,2011,7.3
"422","Texas Tech","Public","Big 12",2010,-7.7,2011,7.5
"423","Alabama","Public","SEC",2010,-23.1,2011,10.1
"424","Tennessee","Public","SEC",2010,-7.7,2011,9.7
